reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
9f293c6a-953f-4476-9f2c-6d65d8a4f939,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,tolong pihak tiktok dari tadi saya donload menginstal mulu ga selesai selesai saya kan juga mau main tiktok gimanaa ni pihak tiktok,2,0,39.4.3,2025-04-12 10:01:19,,,39.4.3
be33729a-97da-44a7-8607-cc5ff3c5a7f1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,baik sekali,5,0,,2025-04-12 09:59:52,,,
51d6608a-88a8-4ba6-acd8-9d836e842a4f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"gw bingung sama tiktok, komentar yg bener di APUS, giliran akun kaum gay, cwe joget joget aman aman aje. hilang sudah akal sehatnye.",1,0,,2025-04-12 09:59:43,,,
a1db1f60-4efc-4c38-a272-cb7f26da354d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"baguss bangett ihh, adaa ajaa inspirasi baruu dii sinii, ohyaa seringg² bantuu fyp vt² yaaa",5,0,39.3.3,2025-04-12 09:57:35,,,39.3.3
fff6f5eb-1990-4537-b994-0326044e7a32,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Mohon di perbaiki lagi soal nya saya donlod sudah menginstal tapi gak bisa masuk ke aplikasi saya,3,0,,2025-04-12 09:56:14,,,
ff8a97a1-eaf2-4646-9029-9edb653d86b8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Kenapa si tiktok blokir akun gua gua kecewa guwa uda liyat tikto dulu 2018kenapasi gw mau buwat akun di blokir mulu gw dulu pas masi kecil gw udah bikin fidio selalu di blokir ampe sekarang gw pas Agustus kemaren gw bikin akunya udah cape cape buat Fido udah jatoh jatolah apala tikto fast jelek,2,0,39.5.3,2025-04-12 09:56:06,,,39.5.3
6ebcb8f6-ecc5-421d-94d9-79ba33b1e411,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,karena akun tiktok saya diblokir selamanya dari tiktok padahal saya sama sekali tdk me lakukan pelanggaran saya sdh coba berbagai cara tapi tetap tidak bisa,1,0,,2025-04-12 09:53:12,,,
f33bc6ee-3b71-4445-b8c3-7176095289de,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,kalu di apdet susah banget aku udah coba berkali-kali tetep gak bisa kuota ku padahal baru diisi,4,0,33.1.4,2025-04-12 09:52:39,,,33.1.4
a35762a5-346e-47df-9d73-ded5414cde79,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bru update malah update lgi yg bner aja,1,0,39.5.2,2025-04-12 09:52:38,,,39.5.2
376d1eaf-98d3-4e55-b3ea-906b4d114cec,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Saya sangat suka❤️❤️,5,0,37.9.4,2025-04-12 09:50:37,,,37.9.4
